stusps,state,hud_area_code,countyname,hud_area_name,fips,pop2023,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4
IL,17,NCNTY17021N17021,Christian County,"Christian County, IL",1702199999,33893,672,742,974,1168,1418
IL,17,NCNTY17023N17023,Clark County,"Clark County, IL",1702399999,15467,696,769,1009,1245,1336
IL,17,NCNTY17025N17025,Clay County,"Clay County, IL",1702599999,13248,632,707,916,1167,1308
IL,17,METRO41180M41180,Clinton County,"St. Louis, MO-IL HUD Metro FMR Area",1702799999,36998,955,995,1218,1568,1812
IL,17,NCNTY17029N17029,Coles County,"Coles County, IL",1702999999,47076,665,759,965,1261,1348
IL,17,METRO16980M16980,Cook County,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1703199999,5225367,1480,1581,1781,2294,2653
IL,17,NCNTY17033N17033,Crawford County,"Crawford County, IL",1703399999,18729,632,764,916,1241,1537
IL,17,NCNTY17035N17035,Cumberland County,"Cumberland County, IL",1703599999,10447,632,717,916,1098,1537
IL,17,METRO16980MM2050,DeKalb County,"DeKalb County, IL HUD Metro FMR Area",1703799999,100686,947,1046,1373,1825,2203
IL,17,NCNTY17039N17039,De Witt County,"De Witt County, IL",1703999999,15535,714,790,1036,1242,1738
IL,17,NCNTY17041N17041,Douglas County,"Douglas County, IL",1704199999,19714,681,836,916,1240,1271
IL,17,METRO16980M16980,DuPage County,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1704399999,930559,1480,1581,1781,2294,2653
IL,17,NCNTY17045N17045,Edgar County,"Edgar County, IL",1704599999,16852,632,768,916,1226,1405
IL,17,NCNTY17047N17047,Edwards County,"Edwards County, IL",1704799999,6182,632,698,916,1098,1213
IL,17,NCNTY17049N17049,Effingham County,"Effingham County, IL",1704999999,34594,745,754,916,1208,1385
IL,17,NCNTY17051N17051,Fayette County,"Fayette County, IL",1705199999,21464,722,750,916,1183,1293
IL,17,METRO16580N17053,Ford County,"Ford County, IL HUD Metro FMR Area",1705399999,13484,694,698,916,1274,1300
IL,17,NCNTY17055N17055,Franklin County,"Franklin County, IL",1705599999,37810,632,698,916,1181,1329
IL,17,NCNTY17057N17057,Fulton County,"Fulton County, IL",1705799999,33691,703,708,916,1274,1288
