ZCTA,land_sqmi,water_sqmi,lat,lon,population,density_sqmi
11433,1.531,0.0,40.69809,-73.786752,37777,24674.722403657743
11434,3.245,0.041,40.677857,-73.777073,67611,20835.439137134053
11435,1.511,0.0,40.70108,-73.80964,58424,38665.78424884183
11436,0.798,0.0,40.675864,-73.796647,21364,26771.9298245614
11501,2.035,0.0,40.74633,-73.639178,21590,10609.33660933661
11507,1.056,0.0,40.770829,-73.652103,6581,6232.007575757575
11509,0.841,0.276,40.587963,-73.728528,1747,2077.2889417360284
11510,4.152,0.601,40.650127,-73.607709,34814,8384.874759152215
11514,0.905,0.0,40.749778,-73.61291,4421,4885.082872928177
11516,0.92,0.008,40.626223,-73.726779,8733,9492.391304347826
11518,1.396,0.114,40.637472,-73.666807,10390,7442.693409742121
11520,5.06,0.496,40.649401,-73.582951,44873,8868.181818181818
11530,7.235,0.028,40.726854,-73.637009,28041,3875.742916378714
11542,6.72,0.243,40.872605,-73.628622,29020,4318.452380952381
11545,11.454,0.001,40.826321,-73.589365,11963,1044.438624061463
11547,0.46,0.145,40.829066,-73.644718,788,1713.0434782608695
11548,0.965,0.011,40.811078,-73.613879,2171,2249.740932642487
11550,4.209,0.005,40.701475,-73.621108,60658,14411.499168448563
11552,3.494,0.263,40.691752,-73.654204,26053,7456.496851745849
11553,3.238,0.0,40.705272,-73.592328,28344,8753.551575046326
11554,6.303,0.024,40.720115,-73.558861,35806,5680.786926860225
11557,2.039,0.173,40.636083,-73.693921,8503,4170.181461500735
11558,1.485,0.369,40.605357,-73.649046,8532,5745.454545454545
11559,4.158,1.007,40.602924,-73.714434,9130,2195.7671957671955
11560,7.466,0.064,40.880757,-73.588724,6951,931.0206268416823
11561,4.012,0.61,40.590904,-73.644668,38847,9682.70189431705
11563,2.324,0.0,40.657434,-73.674104,22558,9706.540447504303
11565,1.129,0.0,40.67502,-73.671722,8908,7890.168290522586
11566,5.433,0.973,40.662291,-73.556443,35172,6473.771397018222
11568,8.667,0.0,40.786614,-73.597169,4198,484.3659859236183
11569,0.28,0.0,40.590374,-73.580415,996,3557.142857142857
11570,3.588,0.088,40.665341,-73.638921,28162,7848.9409141583055
11572,4.768,0.496,40.631772,-73.636624,30627,6423.447986577182
11575,1.779,0.01,40.680422,-73.584877,19430,10921.86621697583
11576,4.607,0.158,40.796569,-73.646885,12796,2777.512481007163
11577,2.952,0.0,40.782867,-73.639109,12771,4326.219512195122
11579,1.113,0.0,40.844018,-73.644089,5037,4525.606469002695
11580,3.888,0.015,40.6749,-73.702154,42644,10968.106995884775
11581,2.724,0.16,40.651028,-73.715325,22652,8315.712187958883
11590,6.704,0.016,40.755182,-73.574338,48243,7196.15155131265
11596,1.323,0.0,40.759718,-73.64222,10378,7844.293272864702
11598,1.936,0.099,40.630935,-73.712339,14316,7394.628099173554
11691,2.683,0.098,40.602096,-73.761794,68704,25607.156168468133
11692,1.016,0.099,40.594154,-73.791986,23247,22880.905511811023
11694,1.747,0.0,40.575314,-73.851235,21430,12266.742987979393
11701,4.639,0.638,40.682451,-73.414382,28174,6073.291657684846
11702,11.519,14.915,40.636151,-73.383775,14002,1215.556905981422
11703,3.047,0.034,40.732676,-73.325003,17205,5646.53757794552
11704,7.89,0.202,40.715775,-73.359257,40285,5105.830164765526
11705,3.39,0.072,40.743264,-73.05585,8256,2435.3982300884954
11706,16.931,6.359,40.710632,-73.242913,68648,4054.5744492351305
11709,1.485,0.576,40.906313,-73.558244,6744,4541.414141414141
11710,4.864,0.637,40.672203,-73.534825,34459,7084.498355263158
11713,5.583,0.082,40.778396,-72.942761,9236,1654.3077198638723
11714,4.225,0.0,40.742649,-73.486164,22475,5319.526627218936
11715,1.698,0.006,40.750968,-73.034924,3796,2235.5712603062425
11716,8.64,0.034,40.777011,-73.13509,9750,1128.4722222222222
11718,0.937,0.023,40.716435,-73.261514,3185,3399.1462113127
11719,5.339,0.135,40.776671,-72.907833,3300,618.0932758943621
11720,8.238,0.0,40.87024,-73.082046,28669,3480.0922554017966
11721,2.509,1.435,40.902425,-73.371427,6620,2638.501394978079
11722,6.968,0.0,40.78358,-73.196618,38443,5517.078071182549
11724,3.861,0.488,40.864322,-73.456406,2956,765.6047656047656
11725,9.71,0.0,40.840584,-73.280817,29050,2991.761071060762
11726,2.532,0.206,40.678993,-73.394445,21940,8665.086887835703
11727,9.394,0.0,40.880174,-73.003691,29393,3128.9120715350223
11729,6.197,0.004,40.761136,-73.32526,26647,4299.983863159593
11730,4.496,0.486,40.727603,-73.18495,14376,3197.508896797153
11731,8.321,0.0,40.862614,-73.31704,29891,3592.2365100348516
11732,2.162,0.0,40.842406,-73.539303,3546,1640.1480111008327
11733,11.74,4.469,40.940235,-73.11278,17403,1482.3679727427598
11735,10.736,0.004,40.732747,-73.432789,32778,3053.0923994038744
11738,5.005,0.0,40.837767,-73.037682,20246,4045.154845154845
11739,3.553,1.57,40.710579,-73.165716,1191,335.209681958908
11740,3.663,0.0,40.865347,-73.361205,10699,2920.829920829921
11741,7.507,0.0,40.794727,-73.070427,26356,3510.856533901692
11742,5.149,0.0,40.810354,-73.041875,13194,2562.4393086036125
11743,25.667,3.024,40.883412,-73.423563,42423,1652.8226906144075
11746,24.115,0.004,40.814268,-73.362276,66883,2773.501969728385
11747,12.595,0.0,40.783762,-73.409295,19826,1574.1167129813418
11749,2.187,0.0,40.806766,-73.170802,3581,1637.4028349336993
11751,3.966,0.641,40.730486,-73.213924,13152,3316.1875945537063
11752,4.039,0.025,40.758346,-73.174234,8990,2225.798464966576
11753,3.964,0.0,40.789721,-73.541036,12729,3211.1503531786075
11754,7.363,1.022,40.885566,-73.249901,17660,2398.478880890941
11755,3.269,0.001,40.857817,-73.116844,11953,3656.469868461303
